names,scores,logfoldchanges,pvals,pvals_adj
SHQ1,-3.043074,-1.2655466,0.00234174830180455,0.008117578513095648
NUP214,-3.043997,-0.28973493,0.0023345746340356775,0.008096284216490175
RNF14,-3.043997,-0.5297604,0.0023345746340356775,0.008096284216490175
CDKN2C,-3.0450356,-0.4287279,0.002326528316429107,0.0080755103515469
USP47,-3.0454972,-0.36875498,0.002322960334141085,0.008066690285003635
APEH,-3.0480356,-0.3647295,0.0023034258515382024,0.008005933656563088
ARFGEF1,-3.0490742,-0.41919523,0.002295477928661737,0.007981841137511264
NABP1,-3.051382,-0.673672,0.00227790573638982,0.007924246926192221
CCDC34,-3.0516129,-0.28366336,0.002276155311924858,0.00792166591722187
ZCCHC10,-3.0518436,-0.39119136,0.002274406119767992,0.007919086910805664
U2AF1L4,-3.0525358,-0.6070989,0.002269165929403539,0.007907851985565572
RPSAP58,-3.0536897,-0.7883966,0.0022604568527570404,0.007884497592542875
ZNF7,-3.0550745,-0.6054532,0.0022500463889805447,0.00785167231694455
MAPKAPK5-AS1,-3.0557668,-0.3598026,0.002244857647396773,0.007837047475689625
VWA9,-3.0570362,-0.5866026,0.002235373420393154,0.007807406944058793
ACLY,-3.0607285,-0.39254382,0.002207991327903047,0.007715201014536671
TYW1,-3.060844,-0.62153655,0.002207140612086863,0.007715201014536671
SNAPC4,-3.0615363,-1.0490761,0.002202042622542748,0.0077012666073344995
HSP90B1,-3.0616517,-0.25038174,0.0022011940076270098,0.0077012666073344995
VAC14,-3.065921,-0.68318856,0.0021700051839185553,0.007599371698475368
IMP4,-3.0683444,-0.2925712,0.002152484151345786,0.007541375115442082
PPFIA3,-3.068806,-1.1853632,0.002149161553525057,0.007533094155706971
C3orf33,-3.0712292,-0.94750834,0.002131794934320616,0.007478896475698275
MITF,-3.0718062,-0.43458328,0.002127679036149388,0.007471130455499975
PAK4,-3.072729,-0.7137215,0.0021211087534777173,0.007451390544976507
PPIF,-3.0730753,-0.3209605,0.002118649697962388,0.007446082048096
NFRKB,-3.0751524,-0.502513,0.0021039501840277542,0.007397729944287381
AC145212.1,-3.0819604,-1.0885316,0.002056421744351206,0.0072403374280048055
FH,-3.0819604,-0.32620123,0.002056421744351206,0.0072403374280048055
NTAN1,-3.0901532,-0.53582126,0.002000533183901019,0.007059383719471027
RAP1GDS1,-3.0937302,-0.74950224,0.0019765711826124246,0.006977962534571055
PDE12,-3.0943072,-0.59290975,0.0019727311096821025,0.006967537260140698
NCAPH,-3.0952303,-0.54798263,0.001966601235264127,0.006949011562303066
PIGC,-3.096615,-0.49859375,0.0019574392029456196,0.006919750197631792
PRPS1,-3.0983458,-0.37284425,0.0019460417715484498,0.006882556558087831
CNOT2,-3.1003075,-0.41258,0.00193319835883239,0.006843295677615332
FAM118B,-3.1086156,-0.5601153,0.0018796610128893876,0.006665795601014058
RABEPK,-3.1113849,-0.4192914,0.0018621201185499243,0.006609558757889587
REST,-3.1119618,-0.38498724,0.0018584847464261241,0.006599637288958953
MCPH1,-3.112885,-0.78127736,0.0018526817109219265,0.006582005807006664
C17orf89,-3.1164622,-0.2754344,0.0018303518395511704,0.006508562109404457
OGFOD1,-3.117616,-0.35011804,0.0018232015813038685,0.006491953046755162
ZNF830,-3.11877,-0.36299548,0.0018160769993777262,0.006472452282264991
NCAPD3,-3.126155,-0.43469003,0.00177108222412645,0.006317825100142263
PSMD11,-3.1278858,-0.29689592,0.001760685898979823,0.0062835927925881455
EIF2B2,-3.1290398,-0.5449358,0.001753786217233671,0.006264661544506814
IGHMBP2,-3.132963,-0.9259697,0.0017305128241909844,0.006189971873415383
NT5C3B,-3.13504,-0.37936082,0.0017183069175933782,0.006149111998950335
SHMT1,-3.1390786,-0.73939127,0.0016947995768126546,0.006067753270676117
CLEC2L,-3.1400018,-0.55914646,0.0016894681721160054,0.006051423844948118
